Date,Product,Category,Quantity,Unit_Price,Store,Total_Sales
2025-08-24 10:12:05,Pain,Snacks,9,6.95,Magasin Sousse,62.550000000000004
2025-07-05 22:41:58,Café,Boissons,16,5.71,Magasin Sousse,91.36
2025-09-10 07:00:59,Lait,Alimentation,17,17.17,Magasin Tunis,291.89000000000004
2025-12-19 21:02:09,Café,Snacks,14,19.95,Magasin Sousse,279.3
2025-12-24 20:40:47,Yaourt,Boissons,18,16.57,Magasin Sousse,298.26
2025-09-08 03:10:02,Chocolat,Boissons,19,11.42,Magasin Sfax,216.98
2025-03-30 20:57:49,Lait,Boissons,11,4.71,Magasin Tunis,51.81
2025-04-28 14:43:26,Thé,Alimentation,5,19.33,Magasin Sousse,96.64999999999999
2025-03-22 11:30:05,Lait,Snacks,2,5.12,Magasin Tunis,10.24
2025-07-13 13:14:15,Céréales,Boissons,16,2.06,Magasin Sfax,32.96
2025-03-13 08:39:31,Céréales,Boissons,1,7.62,Magasin Sousse,7.62
2025-10-15 02:48:30,Yaourt,Alimentation,4,5.28,Magasin Sfax,21.12
2025-02-05 05:22:34,Yaourt,Snacks,7,4.48,Magasin Sousse,31.360000000000003
2025-08-30 21:20:44,Pain,Boissons,7,16.09,Magasin Sousse,112.63
2025-09-28 22:25:50,Fromage,Snacks,16,9.4,Magasin Tunis,150.4
2025-12-19 08:45:22,Fromage,Boissons,2,16.99,Magasin Sfax,33.98
2025-11-23 01:53:37,Lait,Alimentation,2,14.69,Magasin Tunis,29.38
2025-02-12 08:51:44,Fromage,Alimentation,12,17.59,Magasin Sfax,211.07999999999998
2025-09-30 15:38:29,Pain,Alimentation,4,19.85,Magasin Sfax,79.4
2025-03-02 01:16:48,Fromage,Alimentation,19,15.83,Magasin Tunis,300.77
2025-02-19 22:57:10,Lait,Boissons,13,5.34,Magasin Sousse,69.42
2025-09-05 22:47:37,Yaourt,Alimentation,7,2.87,Magasin Sfax,20.09
2025-03-24 04:01:16,Chocolat,Alimentation,10,10.04,Magasin Sousse,100.39999999999999
2025-08-13 08:53:55,Chocolat,Alimentation,9,12.5,Magasin Sfax,112.5
2025-12-21 10:12:45,Thé,Boissons,18,17.9,Magasin Tunis,322.2
2025-08-02 05:34:57,Café,Alimentation,7,5.29,Magasin Sfax,37.03
2025-12-27 07:26:20,Jus,Boissons,14,7.75,Magasin Sousse,108.5
2025-05-08 15:40:10,Chocolat,Alimentation,2,3.3,Magasin Tunis,6.6
2025-06-22 20:29:36,Biscuits,Boissons,10,19.64,Magasin Tunis,196.4
2025-08-06 10:58:56,Céréales,Snacks,3,16.15,Magasin Sfax,48.449999999999996
2025-09-18 17:35:49,Lait,Snacks,13,8.7,Magasin Sousse,113.1
2025-02-04 20:20:03,Fromage,Alimentation,8,9.84,Magasin Tunis,78.72
2025-06-05 03:41:34,Yaourt,Alimentation,16,11.61,Magasin Tunis,185.76
2025-11-08 16:42:15,Biscuits,Boissons,10,14.12,Magasin Tunis,141.2
2025-05-04 06:29:58,Chocolat,Alimentation,17,3.78,Magasin Sfax,64.25999999999999
2025-11-27 04:17:22,Céréales,Alimentation,15,14.81,Magasin Tunis,222.15
2025-10-01 05:26:56,Chocolat,Boissons,4,19.9,Magasin Sousse,79.6
2025-05-23 08:27:41,Yaourt,Alimentation,17,15.81,Magasin Sousse,268.77
2025-09-05 16:11:59,Lait,Snacks,4,2.11,Magasin Tunis,8.44
2025-12-30 09:30:13,Lait,Boissons,6,6.45,Magasin Sousse,38.7
2025-11-15 07:24:52,Yaourt,Snacks,9,15.46,Magasin Tunis,139.14000000000001
2025-03-29 19:28:31,Lait,Alimentation,5,3.68,Magasin Sousse,18.400000000000002
2025-01-29 17:13:50,Jus,Snacks,16,5.92,Magasin Tunis,94.72
2025-01-30 04:30:31,Lait,Snacks,19,18.19,Magasin Sousse,345.61
2025-06-15 21:26:09,Biscuits,Boissons,11,18.91,Magasin Sousse,208.01
2025-06-04 06:08:01,Yaourt,Alimentation,5,12.72,Magasin Sfax,63.6
2025-06-30 20:50:42,Café,Alimentation,8,13.79,Magasin Sfax,110.32
2025-08-15 03:31:23,Café,Boissons,5,16.16,Magasin Sousse,80.8
2025-12-01 07:43:31,Thé,Alimentation,13,6.56,Magasin Tunis,85.28
2025-04-05 09:10:29,Biscuits,Boissons,8,16.47,Magasin Sousse,131.76
2025-06-27 10:34:32,Chocolat,Alimentation,9,6.82,Magasin Sousse,61.38
2025-05-22 01:14:48,Céréales,Snacks,16,18.62,Magasin Sfax,297.92
2025-04-14 16:40:22,Lait,Boissons,8,4.28,Magasin Sfax,34.24
2025-07-07 08:13:27,Fromage,Snacks,16,11.53,Magasin Sousse,184.48
2025-03-29 06:21:58,Fromage,Alimentation,15,2.54,Magasin Tunis,38.1
2025-01-25 07:58:48,Céréales,Snacks,11,4.89,Magasin Sfax,53.79
2025-12-23 01:26:11,Pain,Boissons,16,14.14,Magasin Tunis,226.24
2025-01-02 12:22:47,Lait,Boissons,16,4.01,Magasin Tunis,64.16
2025-04-18 20:19:10,Céréales,Snacks,7,8.56,Magasin Tunis,59.92
2025-02-03 02:33:06,Fromage,Snacks,15,7.64,Magasin Sfax,114.6
2025-07-14 18:58:30,Café,Snacks,16,18.15,Magasin Sousse,290.4
2025-06-19 14:40:41,Yaourt,Alimentation,18,15.96,Magasin Tunis,287.28000000000003
2025-02-24 08:49:36,Lait,Boissons,19,17.39,Magasin Sousse,330.41
2025-04-16 13:01:08,Fromage,Boissons,13,19.57,Magasin Sousse,254.41
2025-05-23 06:40:03,Chocolat,Boissons,3,8.12,Magasin Tunis,24.36
2025-02-27 04:20:17,Lait,Boissons,17,1.29,Magasin Tunis,21.93
2025-06-14 20:42:59,Céréales,Alimentation,9,5.99,Magasin Sousse,53.910000000000004
2025-12-07 03:05:06,Thé,Boissons,15,9.74,Magasin Sousse,146.1
2025-01-08 00:18:14,Jus,Alimentation,16,7.4,Magasin Tunis,118.4
2025-11-21 19:11:37,Biscuits,Alimentation,6,14.89,Magasin Sfax,89.34
2025-12-10 23:01:58,Thé,Alimentation,6,13.3,Magasin Tunis,79.80000000000001
2025-10-01 23:09:29,Thé,Boissons,13,5.66,Magasin Sousse,73.58
2025-12-04 22:35:43,Thé,Snacks,7,9.14,Magasin Sousse,63.980000000000004
2025-04-19 10:29:00,Yaourt,Boissons,16,2.72,Magasin Sfax,43.52
2025-05-18 14:11:55,Café,Alimentation,19,6.15,Magasin Tunis,116.85000000000001
2025-07-21 11:05:45,Thé,Snacks,5,18.71,Magasin Sousse,93.55000000000001
2025-04-06 06:35:42,Fromage,Alimentation,2,7.02,Magasin Tunis,14.04
2025-11-18 13:27:36,Chocolat,Boissons,6,1.37,Magasin Tunis,8.22
2025-04-05 20:06:51,Thé,Snacks,7,14.76,Magasin Tunis,103.32
2025-12-14 13:15:39,Café,Snacks,1,15.15,Magasin Tunis,15.15
2025-01-28 20:38:34,Café,Boissons,15,11.6,Magasin Sfax,174.0
2025-03-13 07:24:42,Chocolat,Boissons,16,4.1,Magasin Tunis,65.6
2025-03-04 15:00:03,Yaourt,Boissons,5,15.66,Magasin Tunis,78.3
2025-08-28 12:40:18,Café,Boissons,3,15.77,Magasin Sousse,47.31
2025-01-02 06:18:41,Fromage,Snacks,9,17.82,Magasin Sousse,160.38
2025-07-10 10:55:12,Biscuits,Alimentation,11,9.58,Magasin Tunis,105.38
2025-08-13 10:26:03,Biscuits,Boissons,14,13.95,Magasin Sousse,195.29999999999998
2025-11-22 02:58:48,Fromage,Snacks,1,2.6,Magasin Tunis,2.6
2025-10-14 17:23:23,Fromage,Alimentation,18,6.35,Magasin Sousse,114.3
2025-05-27 22:56:25,Chocolat,Alimentation,11,17.58,Magasin Sfax,193.38
2025-06-30 04:45:17,Chocolat,Snacks,19,4.83,Magasin Sfax,91.77
2025-01-26 20:25:28,Biscuits,Boissons,2,12.99,Magasin Sousse,25.98
2025-09-23 07:26:32,Thé,Snacks,16,4.76,Magasin Sfax,76.16
2025-06-05 03:35:04,Jus,Alimentation,5,4.36,Magasin Sfax,21.8
2025-10-18 05:22:33,Fromage,Snacks,4,1.0,Magasin Sfax,4.0
2025-05-02 10:30:55,Thé,Alimentation,19,11.94,Magasin Sousse,226.85999999999999
2025-05-17 16:10:42,Thé,Alimentation,17,15.01,Magasin Tunis,255.17
2025-06-07 00:03:14,Pain,Alimentation,14,12.55,Magasin Sfax,175.70000000000002
2025-02-16 04:55:08,Jus,Boissons,14,6.59,Magasin Sousse,92.25999999999999
2025-06-10 06:24:14,Fromage,Snacks,5,1.31,Magasin Tunis,6.550000000000001
2025-06-21 05:46:18,Biscuits,Snacks,13,8.75,Magasin Sousse,113.75
2025-12-17 09:26:54,Chocolat,Alimentation,12,3.11,Magasin Sousse,37.32
2025-10-09 12:43:57,Chocolat,Boissons,16,7.55,Magasin Tunis,120.8
2025-06-09 01:52:28,Biscuits,Boissons,13,18.66,Magasin Sfax,242.58
2025-11-28 23:23:02,Fromage,Snacks,1,7.31,Magasin Tunis,7.31
2025-04-13 00:29:51,Yaourt,Alimentation,8,2.92,Magasin Sfax,23.36
2025-04-15 14:57:25,Thé,Snacks,12,14.87,Magasin Sousse,178.44
2025-06-21 15:21:49,Café,Boissons,17,4.31,Magasin Sousse,73.27
2025-07-29 04:36:47,Café,Boissons,6,11.69,Magasin Tunis,70.14
2025-06-29 02:57:47,Café,Snacks,10,2.93,Magasin Sousse,29.3
2025-02-01 21:22:34,Café,Snacks,11,7.89,Magasin Sfax,86.78999999999999
2025-04-25 21:49:58,Thé,Snacks,5,14.38,Magasin Sfax,71.9
2025-03-02 07:27:04,Pain,Boissons,13,10.11,Magasin Sfax,131.43
2025-03-04 11:10:19,Yaourt,Alimentation,5,10.29,Magasin Sousse,51.449999999999996
2025-08-21 08:58:04,Yaourt,Alimentation,16,6.37,Magasin Sousse,101.92
2025-01-26 02:04:07,Céréales,Boissons,13,8.01,Magasin Tunis,104.13
2025-07-15 06:04:52,Pain,Alimentation,8,13.78,Magasin Sfax,110.24
2025-10-11 10:37:42,Biscuits,Boissons,8,17.0,Magasin Sousse,136.0
2025-09-03 21:52:56,Yaourt,Alimentation,18,11.08,Magasin Tunis,199.44
2025-04-02 16:07:54,Yaourt,Boissons,2,8.65,Magasin Sousse,17.3
2025-06-14 16:36:28,Lait,Snacks,10,16.89,Magasin Sousse,168.9
2025-03-06 17:39:29,Chocolat,Alimentation,5,12.62,Magasin Sousse,63.099999999999994
2025-08-12 19:34:24,Thé,Snacks,2,3.19,Magasin Tunis,6.38
2025-11-08 20:39:59,Céréales,Snacks,16,4.2,Magasin Sfax,67.2
2025-08-08 12:13:48,Café,Boissons,16,8.33,Magasin Tunis,133.28
2025-05-06 03:59:52,Chocolat,Boissons,10,19.71,Magasin Sousse,197.10000000000002
2025-06-11 00:30:38,Pain,Boissons,11,4.74,Magasin Tunis,52.14
2025-02-20 03:52:54,Jus,Alimentation,10,3.35,Magasin Sfax,33.5
2025-01-12 15:36:13,Pain,Alimentation,19,11.51,Magasin Sousse,218.69
2025-08-23 11:43:31,Céréales,Boissons,7,16.15,Magasin Sousse,113.04999999999998
2025-07-14 22:39:40,Fromage,Boissons,14,16.96,Magasin Sfax,237.44
2025-01-12 10:28:10,Biscuits,Snacks,6,12.69,Magasin Sousse,76.14
2025-11-18 15:35:05,Lait,Snacks,2,11.82,Magasin Sfax,23.64
2025-10-19 03:25:11,Chocolat,Boissons,1,17.31,Magasin Tunis,17.31
2025-09-06 23:27:17,Thé,Boissons,12,6.1,Magasin Sousse,73.19999999999999
2025-07-11 06:26:03,Chocolat,Snacks,11,14.74,Magasin Sousse,162.14000000000001
2025-06-02 02:13:39,Thé,Boissons,17,4.01,Magasin Sfax,68.17
2025-12-02 13:03:54,Café,Snacks,4,14.76,Magasin Tunis,59.04
2025-08-21 13:47:07,Thé,Snacks,16,17.35,Magasin Sfax,277.6
2025-03-31 05:16:26,Céréales,Alimentation,15,15.51,Magasin Sfax,232.65
2025-02-23 05:17:42,Biscuits,Snacks,15,19.02,Magasin Tunis,285.3
2025-11-09 20:22:25,Café,Boissons,17,3.43,Magasin Tunis,58.31
2025-01-03 14:58:15,Biscuits,Snacks,1,17.44,Magasin Sousse,17.44
2025-04-20 12:13:06,Pain,Alimentation,1,17.39,Magasin Sousse,17.39
2025-02-26 19:58:11,Thé,Snacks,2,7.45,Magasin Sfax,14.9
2025-04-23 23:25:15,Yaourt,Boissons,5,1.75,Magasin Sousse,8.75
2025-11-24 09:18:43,Yaourt,Alimentation,12,14.03,Magasin Sousse,168.35999999999999
2025-12-05 18:22:40,Café,Snacks,4,10.8,Magasin Sousse,43.2
2025-10-15 15:27:40,Céréales,Boissons,9,11.62,Magasin Tunis,104.58
2025-02-27 11:05:37,Yaourt,Boissons,3,1.04,Magasin Tunis,3.12
2025-05-08 18:24:21,Thé,Boissons,14,14.46,Magasin Sfax,202.44
2025-12-04 09:11:26,Fromage,Snacks,8,9.78,Magasin Sousse,78.24
2025-03-12 04:32:59,Fromage,Snacks,1,3.06,Magasin Sousse,3.06
2025-01-08 11:08:30,Café,Boissons,2,3.77,Magasin Sfax,7.54
2025-12-11 20:24:57,Biscuits,Boissons,12,7.07,Magasin Sfax,84.84
2025-05-30 19:45:45,Pain,Alimentation,8,18.35,Magasin Sfax,146.8
2025-06-04 22:52:30,Lait,Boissons,11,2.13,Magasin Sousse,23.43
2025-01-03 08:30:56,Céréales,Snacks,19,5.84,Magasin Tunis,110.96
2025-04-21 05:29:02,Café,Snacks,16,13.52,Magasin Tunis,216.32
2025-01-04 14:51:27,Thé,Snacks,10,15.53,Magasin Tunis,155.29999999999998
2025-05-21 00:15:44,Fromage,Snacks,10,1.95,Magasin Tunis,19.5
2025-03-21 19:51:15,Fromage,Alimentation,4,2.77,Magasin Sfax,11.08
2025-04-11 10:36:57,Café,Alimentation,1,14.04,Magasin Tunis,14.04
2025-05-12 05:31:06,Café,Snacks,6,6.34,Magasin Sfax,38.04
2025-06-18 04:54:03,Yaourt,Boissons,7,9.06,Magasin Sfax,63.42
2025-12-05 18:14:45,Lait,Alimentation,2,17.73,Magasin Sousse,35.46
2025-12-16 04:08:44,Céréales,Snacks,14,14.72,Magasin Sousse,206.08
2025-04-24 00:17:09,Lait,Alimentation,16,19.12,Magasin Sfax,305.92
2025-08-21 06:13:26,Thé,Snacks,15,16.36,Magasin Sfax,245.39999999999998
2025-08-06 22:09:02,Jus,Alimentation,10,1.14,Magasin Sfax,11.399999999999999
2025-08-12 23:50:11,Lait,Alimentation,14,8.78,Magasin Sousse,122.91999999999999
2025-01-04 15:44:10,Chocolat,Alimentation,11,3.2,Magasin Sousse,35.2
2025-10-12 09:57:08,Pain,Boissons,10,5.46,Magasin Sousse,54.6
2025-02-09 02:34:05,Pain,Boissons,17,4.14,Magasin Tunis,70.38
2025-08-30 20:11:35,Biscuits,Alimentation,7,19.76,Magasin Sousse,138.32000000000002
2025-05-12 23:35:33,Chocolat,Boissons,19,14.84,Magasin Sousse,281.96
2025-11-13 20:34:26,Yaourt,Snacks,18,9.45,Magasin Sousse,170.1
2025-09-15 06:20:22,Biscuits,Alimentation,12,1.79,Magasin Sousse,21.48
2025-09-23 10:22:56,Café,Snacks,2,17.46,Magasin Tunis,34.92
2025-01-06 05:48:41,Yaourt,Boissons,14,10.94,Magasin Sfax,153.16
2025-08-07 20:27:59,Thé,Alimentation,5,6.14,Magasin Tunis,30.7
2025-04-20 12:12:41,Chocolat,Boissons,2,1.71,Magasin Tunis,3.42
2025-03-18 14:34:35,Chocolat,Boissons,18,19.32,Magasin Sfax,347.76
2025-03-10 14:19:19,Céréales,Boissons,11,16.43,Magasin Tunis,180.73
2025-10-27 00:29:02,Biscuits,Alimentation,14,13.31,Magasin Sousse,186.34
2025-04-13 11:52:40,Jus,Boissons,19,1.53,Magasin Tunis,29.07
2025-10-29 08:48:30,Fromage,Snacks,17,11.03,Magasin Tunis,187.51
2025-11-07 16:18:45,Yaourt,Boissons,5,2.92,Magasin Tunis,14.6
2025-12-24 02:01:04,Biscuits,Snacks,6,17.91,Magasin Tunis,107.46000000000001
2025-03-04 09:30:08,Yaourt,Snacks,6,14.55,Magasin Tunis,87.30000000000001
2025-01-29 00:26:51,Jus,Boissons,8,14.03,Magasin Sfax,112.24
2025-06-18 11:22:34,Yaourt,Alimentation,3,8.84,Magasin Tunis,26.52
2025-01-12 01:48:09,Café,Snacks,16,5.71,Magasin Tunis,91.36
2025-08-11 08:34:32,Lait,Alimentation,10,15.43,Magasin Sfax,154.3
2025-04-17 15:56:25,Yaourt,Snacks,13,1.05,Magasin Sfax,13.65
2025-07-06 23:35:09,Yaourt,Snacks,2,15.48,Magasin Sfax,30.96
2025-04-27 11:50:37,Chocolat,Alimentation,3,11.52,Magasin Sousse,34.56
2025-07-09 01:50:27,Lait,Alimentation,1,13.66,Magasin Sfax,13.66
2025-11-10 23:30:51,Café,Boissons,9,7.08,Magasin Tunis,63.72
2025-01-12 03:39:40,Chocolat,Alimentation,17,15.16,Magasin Tunis,257.72
2025-08-19 14:51:21,Jus,Boissons,17,16.39,Magasin Sfax,278.63
2025-03-05 22:57:23,Céréales,Snacks,16,19.95,Magasin Tunis,319.2
2025-05-30 16:50:41,Lait,Alimentation,13,9.73,Magasin Sfax,126.49000000000001
2025-07-15 10:07:22,Céréales,Boissons,7,8.25,Magasin Tunis,57.75
2025-12-22 01:28:53,Café,Snacks,3,7.07,Magasin Sousse,21.21
2025-12-06 17:42:17,Pain,Alimentation,16,10.96,Magasin Sfax,175.36
2025-06-03 02:10:41,Céréales,Alimentation,3,7.25,Magasin Sousse,21.75
2025-09-11 10:11:38,Pain,Alimentation,10,4.54,Magasin Sfax,45.4
2025-02-26 11:20:48,Café,Snacks,13,15.18,Magasin Sfax,197.34
2025-02-14 06:54:58,Café,Alimentation,2,6.2,Magasin Sousse,12.4
2025-12-07 11:52:30,Fromage,Snacks,7,7.6,Magasin Sousse,53.199999999999996
2025-04-26 15:54:25,Café,Boissons,18,3.96,Magasin Tunis,71.28
2025-09-11 13:01:32,Lait,Alimentation,6,18.36,Magasin Tunis,110.16
2025-12-23 20:22:41,Biscuits,Boissons,12,11.94,Magasin Sfax,143.28
2025-04-21 21:15:19,Lait,Alimentation,14,13.62,Magasin Tunis,190.67999999999998
2025-10-14 00:32:17,Céréales,Alimentation,9,9.08,Magasin Sousse,81.72
2025-08-25 13:14:04,Pain,Snacks,7,17.45,Magasin Sfax,122.14999999999999
2025-06-10 20:09:26,Thé,Alimentation,5,3.66,Magasin Tunis,18.3
2025-08-26 23:29:20,Yaourt,Boissons,15,8.94,Magasin Sousse,134.1
2025-11-07 19:37:15,Thé,Snacks,12,13.71,Magasin Tunis,164.52
2025-03-26 16:46:06,Thé,Snacks,10,5.52,Magasin Tunis,55.199999999999996
2025-06-04 07:29:53,Yaourt,Alimentation,19,19.04,Magasin Sousse,361.76
2025-05-07 05:31:37,Yaourt,Boissons,2,16.5,Magasin Tunis,33.0
2025-08-13 11:45:11,Biscuits,Snacks,16,11.88,Magasin Sfax,190.08
2025-01-17 10:07:41,Biscuits,Alimentation,3,4.65,Magasin Tunis,13.950000000000001
2025-01-10 19:00:24,Chocolat,Boissons,13,10.55,Magasin Sousse,137.15
2025-05-19 04:50:08,Lait,Boissons,12,10.85,Magasin Tunis,130.2
2025-01-05 12:29:27,Chocolat,Alimentation,12,19.05,Magasin Tunis,228.60000000000002
2025-11-18 07:37:25,Thé,Snacks,1,10.14,Magasin Sfax,10.14
2025-05-26 17:46:26,Café,Snacks,18,15.14,Magasin Sousse,272.52
2025-09-10 17:59:22,Jus,Boissons,13,1.11,Magasin Sousse,14.430000000000001
2025-08-08 21:30:12,Chocolat,Snacks,13,2.25,Magasin Sfax,29.25
2025-06-25 09:13:03,Fromage,Snacks,5,7.84,Magasin Tunis,39.2
2025-04-18 08:25:03,Céréales,Alimentation,17,16.71,Magasin Sfax,284.07
2025-11-15 15:55:02,Lait,Boissons,7,7.61,Magasin Tunis,53.27
2025-09-21 18:28:41,Café,Alimentation,8,17.86,Magasin Sfax,142.88
2025-10-03 13:28:31,Chocolat,Snacks,4,5.94,Magasin Sfax,23.76
2025-02-21 03:02:15,Jus,Snacks,10,6.21,Magasin Tunis,62.1
2025-06-08 19:44:08,Thé,Boissons,14,1.51,Magasin Sfax,21.14
2025-08-06 01:57:31,Fromage,Snacks,9,9.33,Magasin Tunis,83.97
2025-05-20 00:44:11,Chocolat,Boissons,17,14.96,Magasin Sousse,254.32000000000002
2025-05-14 14:54:34,Jus,Snacks,1,5.48,Magasin Tunis,5.48
2025-10-02 08:43:05,Yaourt,Boissons,2,2.23,Magasin Sfax,4.46
2025-07-11 16:02:47,Lait,Snacks,15,9.71,Magasin Sousse,145.65
2025-08-03 00:51:34,Biscuits,Boissons,1,16.62,Magasin Sousse,16.62
2025-02-12 06:24:01,Thé,Alimentation,19,6.86,Magasin Sfax,130.34
2025-12-22 22:16:05,Jus,Boissons,9,9.24,Magasin Tunis,83.16
2025-11-09 22:01:13,Biscuits,Snacks,3,13.37,Magasin Sfax,40.11
2025-08-18 14:02:30,Pain,Snacks,8,13.41,Magasin Sfax,107.28
2025-09-24 13:29:33,Yaourt,Alimentation,16,11.14,Magasin Sousse,178.24
2025-01-19 23:45:56,Lait,Alimentation,9,14.61,Magasin Sousse,131.49
2025-10-26 06:08:46,Thé,Boissons,5,3.24,Magasin Tunis,16.200000000000003
2025-12-20 00:37:37,Yaourt,Boissons,3,7.94,Magasin Sousse,23.82
2025-12-19 01:22:18,Fromage,Alimentation,11,7.54,Magasin Tunis,82.94
2025-07-21 18:04:41,Yaourt,Alimentation,19,6.59,Magasin Sfax,125.21
2025-03-20 14:21:21,Lait,Alimentation,18,3.82,Magasin Sfax,68.75999999999999
2025-01-18 00:33:17,Pain,Boissons,1,5.81,Magasin Sousse,5.81
2025-04-18 18:26:36,Fromage,Snacks,1,9.96,Magasin Sfax,9.96
2025-03-22 05:29:41,Jus,Boissons,19,5.07,Magasin Sousse,96.33000000000001
2025-03-10 20:50:18,Lait,Snacks,1,9.04,Magasin Sfax,9.04
2025-01-26 19:58:24,Lait,Alimentation,19,12.76,Magasin Sfax,242.44
2025-09-05 12:33:59,Chocolat,Snacks,19,6.18,Magasin Sfax,117.41999999999999
2025-01-03 02:57:26,Céréales,Boissons,6,4.76,Magasin Tunis,28.56
2025-12-03 06:38:51,Thé,Boissons,15,12.06,Magasin Tunis,180.9
2025-07-21 19:02:20,Fromage,Snacks,9,15.2,Magasin Tunis,136.79999999999998
2025-08-29 00:53:35,Fromage,Boissons,17,8.27,Magasin Sousse,140.59
2025-07-01 23:25:44,Café,Snacks,13,16.27,Magasin Sousse,211.51
2025-05-02 20:55:01,Lait,Alimentation,2,18.77,Magasin Tunis,37.54
2025-08-29 16:04:44,Yaourt,Snacks,4,1.68,Magasin Sfax,6.72
2025-02-26 08:00:02,Fromage,Alimentation,5,12.29,Magasin Sfax,61.449999999999996
2025-04-10 10:36:06,Céréales,Snacks,6,8.32,Magasin Sousse,49.92
2025-12-27 02:06:16,Biscuits,Boissons,6,2.52,Magasin Tunis,15.120000000000001
2025-03-25 06:19:41,Lait,Alimentation,3,8.79,Magasin Sousse,26.369999999999997
2025-06-26 08:16:31,Fromage,Snacks,15,3.52,Magasin Sfax,52.8
2025-02-15 02:50:44,Café,Snacks,19,19.35,Magasin Sfax,367.65000000000003
2025-07-09 11:19:13,Lait,Snacks,1,16.92,Magasin Sfax,16.92
2025-03-03 15:25:22,Jus,Snacks,15,6.72,Magasin Tunis,100.8
2025-06-03 22:26:54,Thé,Boissons,15,1.32,Magasin Tunis,19.8
2025-09-09 16:17:00,Chocolat,Boissons,11,5.49,Magasin Sousse,60.39
2025-10-02 21:33:00,Café,Boissons,9,5.28,Magasin Tunis,47.52
2025-10-29 20:15:39,Lait,Boissons,19,16.47,Magasin Tunis,312.92999999999995
2025-01-27 10:32:20,Pain,Snacks,15,10.25,Magasin Sousse,153.75
2025-11-08 19:16:38,Yaourt,Alimentation,13,16.16,Magasin Sousse,210.08
2025-12-20 22:09:06,Yaourt,Alimentation,9,17.63,Magasin Sfax,158.67
2025-04-06 00:22:26,Biscuits,Alimentation,11,9.13,Magasin Sousse,100.43
2025-08-20 22:03:17,Lait,Snacks,7,17.03,Magasin Sfax,119.21000000000001
2025-06-19 14:44:13,Céréales,Snacks,18,6.74,Magasin Tunis,121.32000000000001
2025-08-17 01:12:39,Yaourt,Alimentation,5,9.05,Magasin Sfax,45.25
2025-11-10 21:27:44,Céréales,Boissons,10,14.03,Magasin Sousse,140.29999999999998
2025-01-01 01:56:56,Thé,Alimentation,10,13.95,Magasin Sousse,139.5
2025-03-15 11:32:49,Yaourt,Boissons,19,11.14,Magasin Sousse,211.66000000000003
2025-05-11 20:01:05,Céréales,Alimentation,13,5.78,Magasin Tunis,75.14
2025-04-18 23:39:54,Chocolat,Alimentation,8,18.67,Magasin Sousse,149.36
2025-05-03 21:22:07,Chocolat,Snacks,2,11.37,Magasin Sousse,22.74
2025-02-26 19:11:51,Biscuits,Alimentation,15,18.01,Magasin Sfax,270.15000000000003
